Region,Date,Confirmed,Deaths,Recovered
Shandong,2020-01-24,15.0,0.0,0.0
Anhui,2020-01-24,15.0,0.0,0.0
Fujian,2020-01-24,10.0,0.0,0.0
Henan,2020-01-24,9.0,0.0,0.0
Jiangsu,2020-01-24,9.0,0.0,0.0
Hainan,2020-01-24,8.0,0.0,0.0
Tianjin,2020-01-24,8.0,0.0,0.0
Yunnan,2020-01-24,5.0,0.0,0.0
Shaanxi,2020-01-24,5.0,0.0,0.0
Heilongjiang,2020-01-24,4.0,1.0,0.0
Liaoning,2020-01-24,4.0,0.0,0.0
Guizhou,2020-01-24,3.0,0.0,0.0
Jilin,2020-01-24,3.0,0.0,0.0
Taiwan,2020-01-24,3.0,0.0,0.0
Ningxia,2020-01-24,2.0,0.0,0.0
Hong Kong,2020-01-24,2.0,0.0,0.0
Macau,2020-01-24,2.0,0.0,0.0
Hebei,2020-01-24,2.0,1.0,0.0
Gansu,2020-01-24,2.0,0.0,0.0
Xinjiang,2020-01-24,2.0,0.0,0.0
Shanxi,2020-01-24,1.0,0.0,0.0
Inner Mongolia,2020-01-24,1.0,0.0,0.0
Qinghai,2020-01-24,0.0,0.0,0.0
Washington,2020-01-24,1.0,0.0,0.0
Chicago,2020-01-24,1.0,0.0,0.0
Japan,2020-01-24,2.0,0.0,0.0
Thailand,2020-01-24,5.0,0.0,0.0
South Korea,2020-01-24,2.0,0.0,0.0
Singapore,2020-01-24,3.0,0.0,0.0
Vietnam,2020-01-24,2.0,0.0,0.0
France,2020-01-24,2.0,0.0,0.0
Hubei,2020-01-25,761.0,40.0,32.0
Guangdong,2020-01-25,78.0,0.0,2.0
Zhejiang,2020-01-25,62.0,0.0,1.0
Chongqing,2020-01-25,57.0,0.0,0.0
Hunan,2020-01-25,43.0,0.0,0.0
Beijing,2020-01-25,41.0,0.0,2.0
Anhui,2020-01-25,39.0,0.0,0.0
Shanghai,2020-01-25,33.0,0.0,1.0
Henan,2020-01-25,32.0,0.0,0.0
Sichuan,2020-01-25,28.0,0.0,0.0
Shandong,2020-01-25,27.0,0.0,0.0
Guangxi,2020-01-25,23.0,0.0,0.0
Hainan,2020-01-25,19.0,0.0,0.0
Jiangxi,2020-01-25,18.0,0.0,0.0
Fujian,2020-01-25,18.0,0.0,0.0
Jiangsu,2020-01-25,18.0,0.0,1.0
Liaoning,2020-01-25,17.0,0.0,0.0
Shaanxi,2020-01-25,15.0,0.0,0.0
Yunnan,2020-01-25,11.0,0.0,0.0
Tianjin,2020-01-25,10.0,0.0,0.0
Heilongjiang,2020-01-25,9.0,1.0,0.0
Hebei,2020-01-25,8.0,1.0,0.0
Inner Mongolia,2020-01-25,7.0,0.0,0.0
Shanxi,2020-01-25,6.0,0.0,0.0
Hong Kong,2020-01-25,5.0,0.0,0.0
Guizhou,2020-01-25,4.0,0.0,0.0
Jilin,2020-01-25,4.0,0.0,0.0
Gansu,2020-01-25,4.0,0.0,0.0
Ningxia,2020-01-25,3.0,0.0,0.0
Taiwan,2020-01-25,3.0,0.0,0.0
Xinjiang,2020-01-25,3.0,0.0,0.0
Macau,2020-01-25,2.0,0.0,0.0
Qinghai,2020-01-25,1.0,0.0,0.0
Washington,2020-01-25,1.0,0.0,0.0
Illinois,2020-01-25,1.0,0.0,0.0
Japan,2020-01-25,2.0,0.0,0.0
Thailand,2020-01-25,7.0,0.0,0.0
South Korea,2020-01-25,2.0,0.0,0.0
Singapore,2020-01-25,3.0,0.0,0.0
Vietnam,2020-01-25,2.0,0.0,0.0
France,2020-01-25,3.0,0.0,0.0
Australia,2020-01-25,4.0,0.0,0.0
Nepal,2020-01-25,1.0,0.0,0.0
Malaysia,2020-01-25,3.0,0.0,0.0
Hubei,2020-01-26,1058.0,52.0,42.0
Guangdong,2020-01-26,111.0,0.0,2.0
Zhejiang,2020-01-26,104.0,0.0,1.0
Henan,2020-01-26,83.0,1.0,0.0
Chongqing,2020-01-26,75.0,0.0,0.0
Hunan,2020-01-26,69.0,0.0,0.0
Beijing,2020-01-26,68.0,0.0,2.0
Anhui,2020-01-26,60.0,0.0,0.0
Shandong,2020-01-26,46.0,0.0,0.0
Sichuan,2020-01-26,44.0,0.0,0.0
Shanghai,2020-01-26,40.0,1.0,1.0
Guangxi,2020-01-26,36.0,0.0,0.0
Jiangxi,2020-01-26,36.0,0.0,0.0
Fujian,2020-01-26,35.0,0.0,0.0
Jiangsu,2020-01-26,33.0,0.0,1.0
Hainan,2020-01-26,22.0,0.0,0.0
Shaanxi,2020-01-26,22.0,0.0,0.0
Liaoning,2020-01-26,21.0,0.0,0.0
Yunnan,2020-01-26,16.0,0.0,0.0
Heilongjiang,2020-01-26,15.0,1.0,0.0
Tianjin,2020-01-26,14.0,0.0,0.0
Hebei,2020-01-26,13.0,1.0,0.0
Shanxi,2020-01-26,9.0,0.0,0.0
Hong Kong,2020-01-26,8.0,0.0,0.0
Inner Mongolia,2020-01-26,7.0,0.0,0.0
Gansu,2020-01-26,7.0,0.0,0.0
Guizhou,2020-01-26,5.0,0.0,0.0
Macau,2020-01-26,5.0,0.0,0.0
Ningxia,2020-01-26,4.0,0.0,0.0
Jilin,2020-01-26,4.0,0.0,0.0
Taiwan,2020-01-26,4.0,0.0,0.0
Xinjiang,2020-01-26,4.0,0.0,0.0
Qinghai,2020-01-26,1.0,0.0,0.0
Washington,2020-01-26,1.0,0.0,0.0
Illinois,2020-01-26,1.0,0.0,0.0
California,2020-01-26,2.0,0.0,0.0
Arizona,2020-01-26,1.0,0.0,0.0
Japan,2020-01-26,4.0,0.0,1.0
Thailand,2020-01-26,8.0,0.0,2.0
South Korea,2020-01-26,3.0,0.0,0.0
Singapore,2020-01-26,4.0,0.0,0.0
Vietnam,2020-01-26,2.0,0.0,0.0
France,2020-01-26,3.0,0.0,0.0
Australia,2020-01-26,4.0,0.0,0.0
Nepal,2020-01-26,1.0,0.0,0.0
Malaysia,2020-01-26,4.0,0.0,0.0
Ontario,2020-01-26,1.0,0.0,0.0
Hubei,2020-01-27,1423.0,76.0,45.0
Guangdong,2020-01-27,151.0,0.0,4.0
Zhejiang,2020-01-27,128.0,0.0,1.0
Henan,2020-01-27,128.0,1.0,0.0
Chongqing,2020-01-27,110.0,0.0,0.0
Hunan,2020-01-27,100.0,0.0,0.0
Beijing,2020-01-27,80.0,1.0,2.0
Shandong,2020-01-27,75.0,0.0,0.0
Jiangxi,2020-01-27,72.0,0.0,2.0
Anhui,2020-01-27,70.0,0.0,0.0
Sichuan,2020-01-27,69.0,0.0,0.0
Fujian,2020-01-27,59.0,0.0,0.0
Shanghai,2020-01-27,53.0,1.0,3.0
Jiangsu,2020-01-27,47.0,0.0,1.0
Guangxi,2020-01-27,46.0,0.0,0.0
Shaanxi,2020-01-27,35.0,0.0,0.0
Hainan,2020-01-27,33.0,1.0,0.0
Liaoning,2020-01-27,27.0,0.0,0.0
Yunnan,2020-01-27,26.0,0.0,0.0
Tianjin,2020-01-27,23.0,0.0,0.0
Heilongjiang,2020-01-27,21.0,1.0,0.0
Hebei,2020-01-27,18.0,1.0,0.0
Gansu,2020-01-27,14.0,0.0,0.0
Shanxi,2020-01-27,13.0,0.0,0.0
Inner Mongolia,2020-01-27,11.0,0.0,0.0
Hong Kong,2020-01-27,8.0,0.0,0.0
Guizhou,2020-01-27,7.0,0.0,0.0
Ningxia,2020-01-27,7.0,0.0,0.0
Jilin,2020-01-27,6.0,0.0,0.0
Macau,2020-01-27,6.0,0.0,0.0
Qinghai,2020-01-27,6.0,0.0,0.0
Taiwan,2020-01-27,5.0,0.0,0.0
Xinjiang,2020-01-27,5.0,0.0,0.0
Washington,2020-01-27,1.0,0.0,0.0
Illinois,2020-01-27,1.0,0.0,0.0
California,2020-01-27,2.0,0.0,0.0
Arizona,2020-01-27,1.0,0.0,0.0
Japan,2020-01-27,4.0,0.0,1.0
Thailand,2020-01-27,8.0,0.0,2.0
South Korea,2020-01-27,4.0,0.0,0.0
Singapore,2020-01-27,5.0,0.0,0.0
Vietnam,2020-01-27,2.0,0.0,0.0
France,2020-01-27,3.0,0.0,0.0
Nepal,2020-01-27,1.0,0.0,0.0
Malaysia,2020-01-27,4.0,0.0,0.0
Ontario,2020-01-27,1.0,0.0,0.0
Cambodia,2020-01-27,1.0,0.0,0.0
Sri Lanka,2020-01-27,1.0,0.0,0.0
Ivory Coast,2020-01-27,1.0,0.0,0.0
New South Wales,2020-01-27,4.0,0.0,0.0
Victoria,2020-01-27,1.0,0.0,0.0
Hubei,2020-01-28,3554.0,125.0,80.0
Guangdong,2020-01-28,207.0,0.0,4.0
Zhejiang,2020-01-28,173.0,0.0,3.0
Henan,2020-01-28,168.0,1.0,0.0
Hunan,2020-01-28,143.0,0.0,0.0
Chongqing,2020-01-28,132.0,0.0,0.0
Jiangxi,2020-01-28,109.0,0.0,3.0
Anhui,2020-01-28,106.0,0.0,0.0
Shandong,2020-01-28,95.0,0.0,0.0
Beijing,2020-01-28,91.0,1.0,4.0
Sichuan,2020-01-28,90.0,0.0,0.0
Fujian,2020-01-28,80.0,0.0,0.0
Jiangsu,2020-01-28,70.0,0.0,1.0
Shanghai,2020-01-28,66.0,1.0,4.0
Guangxi,2020-01-28,51.0,0.0,2.0
Shaanxi,2020-01-28,46.0,0.0,0.0
Yunnan,2020-01-28,44.0,0.0,0.0
Hainan,2020-01-28,40.0,1.0,0.0
Liaoning,2020-01-28,34.0,0.0,0.0
Hebei,2020-01-28,33.0,1.0,0.0
Heilongjiang,2020-01-28,33.0,1.0,0.0
Shanxi,2020-01-28,27.0,0.0,0.0
Tianjin,2020-01-28,24.0,0.0,0.0
Gansu,2020-01-28,19.0,0.0,0.0
Inner Mongolia,2020-01-28,15.0,0.0,0.0
Ningxia,2020-01-28,11.0,0.0,0.0
Xinjiang,2020-01-28,10.0,0.0,0.0
Guizhou,2020-01-28,9.0,0.0,0.0
Jilin,2020-01-28,8.0,0.0,0.0
Taiwan,2020-01-28,8.0,0.0,0.0
Hong Kong,2020-01-28,8.0,0.0,0.0
Macau,2020-01-28,7.0,0.0,0.0
Qinghai,2020-01-28,6.0,0.0,0.0
Washington,2020-01-28,1.0,0.0,0.0
Illinois,2020-01-28,1.0,0.0,0.0
California,2020-01-28,2.0,0.0,0.0
Arizona,2020-01-28,1.0,0.0,0.0
Japan,2020-01-28,7.0,0.0,1.0
Thailand,2020-01-28,14.0,0.0,5.0
South Korea,2020-01-28,4.0,0.0,0.0
Singapore,2020-01-28,7.0,0.0,0.0
Vietnam,2020-01-28,2.0,0.0,0.0
France,2020-01-28,4.0,0.0,0.0
Nepal,2020-01-28,1.0,0.0,0.0
Malaysia,2020-01-28,4.0,0.0,0.0
Ontario,2020-01-28,1.0,0.0,0.0
British Columbia,2020-01-28,1.0,0.0,0.0
Cambodia,2020-01-28,1.0,0.0,0.0
Sri Lanka,2020-01-28,1.0,0.0,0.0
New South Wales,2020-01-28,4.0,0.0,0.0
Victoria,2020-01-28,1.0,0.0,0.0
Bavaria,2020-01-28,4.0,0.0,0.0
Hubei,2020-01-29,3554.0,125.0,88.0
Zhejiang,2020-01-29,296.0,0.0,3.0
Guangdong,2020-01-29,277.0,0.0,5.0
Hunan,2020-01-29,221.0,0.0,0.0
Henan,2020-01-29,206.0,2.0,1.0
Anhui,2020-01-29,152.0,0.0,2.0
Chongqing,2020-01-29,147.0,0.0,1.0
Shandong,2020-01-29,130.0,0.0,1.0
Beijing,2020-01-29,111.0,1.0,4.0
Jiangxi,2020-01-29,109.0,0.0,3.0
Sichuan,2020-01-29,108.0,1.0,1.0
Jiangsu,2020-01-29,99.0,0.0,1.0
Shanghai,2020-01-29,96.0,1.0,5.0
Fujian,2020-01-29,84.0,0.0,0.0
Guangxi,2020-01-29,58.0,0.0,2.0
Shaanxi,2020-01-29,56.0,0.0,0.0
Yunnan,2020-01-29,55.0,0.0,0.0
Hebei,2020-01-29,48.0,1.0,0.0
Hainan,2020-01-29,43.0,1.0,0.0
Liaoning,2020-01-29,39.0,0.0,1.0
Heilongjiang,2020-01-29,38.0,1.0,0.0
Tianjin,2020-01-29,27.0,0.0,0.0
Shanxi,2020-01-29,27.0,0.0,1.0
Gansu,2020-01-29,24.0,0.0,0.0
Inner Mongolia,2020-01-29,16.0,0.0,0.0
Xinjiang,2020-01-29,13.0,0.0,0.0
Ningxia,2020-01-29,12.0,0.0,0.0
Hong Kong,2020-01-29,10.0,0.0,0.0
Guizhou,2020-01-29,9.0,0.0,1.0
Jilin,2020-01-29,9.0,0.0,0.0
Taiwan,2020-01-29,8.0,0.0,0.0
Macau,2020-01-29,7.0,0.0,0.0
Qinghai,2020-01-29,6.0,0.0,0.0
Washington,2020-01-29,1.0,0.0,0.0
Illinois,2020-01-29,1.0,0.0,0.0
California,2020-01-29,2.0,0.0,0.0
Arizona,2020-01-29,1.0,0.0,0.0
Japan,2020-01-29,7.0,0.0,1.0
Thailand,2020-01-29,14.0,0.0,5.0
South Korea,2020-01-29,4.0,0.0,0.0
Singapore,2020-01-29,7.0,0.0,0.0
Vietnam,2020-01-29,2.0,0.0,0.0
France,2020-01-29,5.0,0.0,0.0
Nepal,2020-01-29,1.0,0.0,0.0
Malaysia,2020-01-29,7.0,0.0,0.0
Ontario,2020-01-29,1.0,0.0,0.0
British Columbia,2020-01-29,1.0,0.0,0.0
Cambodia,2020-01-29,1.0,0.0,0.0
Sri Lanka,2020-01-29,1.0,0.0,0.0
New South Wales,2020-01-29,4.0,0.0,0.0
Victoria,2020-01-29,1.0,0.0,0.0
Bavaria,2020-01-29,4.0,0.0,0.0
Finland,2020-01-29,1.0,0.0,0.0
United Arab Emirates,2020-01-29,4.0,0.0,0.0
Hubei,2020-01-30,4903.0,162.0,90.0
Zhejiang,2020-01-30,428.0,0.0,4.0
Guangdong,2020-01-30,354.0,0.0,10.0
Henan,2020-01-30,278.0,2.0,2.0
Hunan,2020-01-30,277.0,0.0,2.0
Anhui,2020-01-30,200.0,0.0,2.0
Chongqing,2020-01-30,182.0,0.0,1.0
Jiangxi,2020-01-30,162.0,0.0,5.0
Shandong,2020-01-30,158.0,0.0,1.0
Sichuan,2020-01-30,142.0,1.0,1.0
Jiangsu,2020-01-30,129.0,0.0,1.0
Beijing,2020-01-30,114.0,1.0,4.0
Shanghai,2020-01-30,112.0,1.0,5.0
Fujian,2020-01-30,101.0,0.0,0.0
Guangxi,2020-01-30,78.0,0.0,2.0
Yunnan,2020-01-30,70.0,0.0,0.0
Hebei,2020-01-30,65.0,1.0,0.0
Shaanxi,2020-01-30,63.0,0.0,0.0
Hainan,2020-01-30,46.0,1.0,1.0
Heilongjiang,2020-01-30,44.0,2.0,0.0
Liaoning,2020-01-30,41.0,0.0,1.0
Shanxi,2020-01-30,35.0,0.0,1.0
Tianjin,2020-01-30,31.0,0.0,0.0
Gansu,2020-01-30,26.0,0.0,0.0
Inner Mongolia,2020-01-30,19.0,0.0,0.0
Ningxia,2020-01-30,17.0,0.0,0.0
Jilin,2020-01-30,14.0,0.0,1.0
Xinjiang,2020-01-30,14.0,0.0,0.0
Guizhou,2020-01-30,12.0,0.0,1.0
Hong Kong,2020-01-30,10.0,0.0,0.0
Taiwan,2020-01-30,9.0,0.0,0.0
Qinghai,2020-01-30,8.0,0.0,0.0
Macau,2020-01-30,7.0,0.0,0.0
Tibet,2020-01-30,1.0,0.0,0.0
Washington,2020-01-30,1.0,0.0,0.0
Illinois,2020-01-30,1.0,0.0,0.0
California,2020-01-30,2.0,0.0,0.0
Arizona,2020-01-30,1.0,0.0,0.0
Japan,2020-01-30,11.0,0.0,1.0
Thailand,2020-01-30,14.0,0.0,5.0
South Korea,2020-01-30,4.0,0.0,0.0
Singapore,2020-01-30,10.0,0.0,0.0
Vietnam,2020-01-30,2.0,0.0,0.0
France,2020-01-30,5.0,0.0,0.0
Nepal,2020-01-30,1.0,0.0,0.0
Malaysia,2020-01-30,8.0,0.0,0.0
Ontario,2020-01-30,2.0,0.0,0.0
British Columbia,2020-01-30,1.0,0.0,0.0
Cambodia,2020-01-30,1.0,0.0,0.0
Sri Lanka,2020-01-30,1.0,0.0,0.0
New South Wales,2020-01-30,4.0,0.0,2.0
Victoria,2020-01-30,2.0,0.0,0.0
Queensland,2020-01-30,3.0,0.0,0.0
Bavaria,2020-01-30,4.0,0.0,0.0
Finland,2020-01-30,1.0,0.0,0.0
United Arab Emirates,2020-01-30,4.0,0.0,0.0
Philippines,2020-01-30,1.0,0.0,0.0
India,2020-01-30,1.0,0.0,0.0
Hubei,2020-01-31,5806.0,204.0,141.0
Zhejiang,2020-01-31,538.0,0.0,14.0
Guangdong,2020-01-31,436.0,0.0,11.0
Henan,2020-01-31,352.0,2.0,3.0
Hunan,2020-01-31,332.0,0.0,2.0
Jiangxi,2020-01-31,240.0,0.0,7.0
Anhui,2020-01-31,237.0,0.0,3.0
Chongqing,2020-01-31,211.0,0.0,1.0
Shandong,2020-01-31,184.0,0.0,2.0
Sichuan,2020-01-31,177.0,1.0,1.0
Jiangsu,2020-01-31,168.0,0.0,5.0
Beijing,2020-01-31,139.0,1.0,5.0
Shanghai,2020-01-31,135.0,1.0,9.0
Fujian,2020-01-31,120.0,0.0,0.0
Guangxi,2020-01-31,87.0,0.0,2.0
Shaanxi,2020-01-31,87.0,0.0,0.0
Yunnan,2020-01-31,83.0,0.0,1.0
Hebei,2020-01-31,82.0,1.0,0.0
Heilongjiang,2020-01-31,59.0,2.0,0.0
Hainan,2020-01-31,52.0,1.0,1.0
Liaoning,2020-01-31,48.0,0.0,1.0
Shanxi,2020-01-31,39.0,0.0,1.0
Tianjin,2020-01-31,32.0,0.0,0.0
Gansu,2020-01-31,29.0,0.0,0.0
Ningxia,2020-01-31,21.0,0.0,0.0
Inner Mongolia,2020-01-31,20.0,0.0,1.0
Xinjiang,2020-01-31,17.0,0.0,0.0
Jilin,2020-01-31,14.0,0.0,1.0
Hong Kong,2020-01-31,12.0,0.0,0.0
Qinghai,2020-01-31,8.0,0.0,0.0
Tibet,2020-01-31,1.0,0.0,0.0
Japan,2020-01-31,15.0,0.0,1.0
Singapore,2020-01-31,13.0,0.0,0.0
South Korea,2020-01-31,11.0,0.0,0.0
France,2020-01-31,5.0,0.0,0.0
Bavaria,2020-01-31,5.0,0.0,0.0
New South Wales,2020-01-31,4.0,0.0,2.0
Victoria,2020-01-31,3.0,0.0,0.0
Illinois,2020-01-31,2.0,0.0,0.0
California,2020-01-31,2.0,0.0,0.0
Vietnam,2020-01-31,2.0,0.0,0.0
Ontario,2020-01-31,2.0,0.0,0.0
Queensland,2020-01-31,2.0,0.0,0.0
UK,2020-01-31,2.0,0.0,0.0
Washington,2020-01-31,1.0,0.0,0.0
Arizona,2020-01-31,1.0,0.0,0.0
British Columbia,2020-01-31,1.0,0.0,0.0
Philippines,2020-01-31,1.0,0.0,0.0
Sweden,2020-01-31,1.0,0.0,0.0
Hubei,2020-02-01,7153.0,249.0,168.0
Zhejiang,2020-02-01,599.0,0.0,21.0
Guangdong,2020-02-01,535.0,0.0,14.0
Henan,2020-02-01,422.0,2.0,3.0
Hunan,2020-02-01,389.0,0.0,8.0
Anhui,2020-02-01,297.0,0.0,5.0
Jiangxi,2020-02-01,286.0,0.0,9.0
Chongqing,2020-02-01,247.0,1.0,3.0
Sichuan,2020-02-01,207.0,1.0,3.0
Shandong,2020-02-01,206.0,0.0,3.0
Jiangsu,2020-02-01,202.0,0.0,6.0
Shanghai,2020-02-01,169.0,1.0,10.0
Beijing,2020-02-01,168.0,1.0,9.0
Fujian,2020-02-01,144.0,0.0,0.0
Shaanxi,2020-02-01,101.0,0.0,0.0
Guangxi,2020-02-01,100.0,0.0,2.0
Hebei,2020-02-01,96.0,1.0,0.0
Yunnan,2020-02-01,93.0,0.0,2.0
Heilongjiang,2020-02-01,80.0,2.0,2.0
Liaoning,2020-02-01,64.0,0.0,1.0
Hainan,2020-02-01,62.0,1.0,1.0
Shanxi,2020-02-01,47.0,0.0,1.0
Tianjin,2020-02-01,41.0,0.0,0.0
Gansu,2020-02-01,40.0,0.0,0.0
Guizhou,2020-01-31,29.0,0.0,2.0
Ningxia,2020-02-01,26.0,0.0,0.0
Inner Mongolia,2020-02-01,23.0,0.0,1.0
Xinjiang,2020-02-01,18.0,0.0,0.0
Jilin,2020-02-01,17.0,0.0,1.0
Singapore,2020-02-01,16.0,0.0,0.0
Hong Kong,2020-02-01,13.0,0.0,0.0
South Korea,2020-02-01,12.0,0.0,0.0
Qinghai,2020-02-01,9.0,0.0,0.0
Germany,2020-02-01,8.0,0.0,0.0
Macau,2020-01-31,7.0,0.0,0.0
United Arab Emirates,2020-01-31,4.0,0.0,0.0
Queensland,2020-02-01,3.0,0.0,0.0
South Australia,2020-02-01,1.0,0.0,0.0
India,2020-01-31,1.0,0.0,0.0
Philippines,2020-02-01,1.0,0.0,0.0
Hubei,2020-02-02,11177.0,350.0,295.0
Zhejiang,2020-02-02,661.0,0.0,32.0
Guangdong,2020-02-02,632.0,0.0,15.0
Henan,2020-02-02,493.0,2.0,10.0
Hunan,2020-02-02,463.0,0.0,16.0
Anhui,2020-02-02,340.0,0.0,7.0
Jiangxi,2020-02-02,333.0,0.0,12.0
Chongqing,2020-02-02,300.0,2.0,7.0
Jiangsu,2020-02-02,236.0,0.0,7.0
Sichuan,2020-02-02,231.0,1.0,11.0
Shandong,2020-02-02,230.0,0.0,6.0
Beijing,2020-02-02,191.0,1.0,9.0
Shanghai,2020-02-02,182.0,1.0,10.0
Fujian,2020-02-02,159.0,0.0,0.0
Shaanxi,2020-02-02,116.0,0.0,0.0
Guangxi,2020-02-02,111.0,0.0,2.0
Yunnan,2020-02-02,105.0,0.0,3.0
Hebei,2020-02-02,104.0,1.0,3.0
Heilongjiang,2020-02-02,95.0,2.0,2.0
Liaoning,2020-02-02,70.0,0.0,1.0
Shanxi,2020-02-02,66.0,0.0,3.0
Hainan,2020-02-02,64.0,1.0,4.0
Gansu,2020-02-02,51.0,0.0,3.0
Tianjin,2020-02-02,48.0,0.0,1.0
Guizhou,2020-02-02,38.0,0.0,2.0
Ningxia,2020-02-02,28.0,0.0,0.0
Inner Mongolia,2020-02-02,27.0,0.0,1.0
Jilin,2020-02-02,23.0,0.0,1.0
Xinjiang,2020-02-02,21.0,0.0,0.0
Qinghai,2020-02-02,11.0,0.0,0.0
Germany,2020-02-02,10.0,0.0,0.0
Vietnam,2020-02-01,6.0,0.0,1.0
India,2020-02-02,2.0,0.0,0.0
"Santa Clara, CA",2020-02-01,1.0,0.0,0.0
Hubei,2020-02-03,13522.0,414.0,386.0
Guangdong,2020-02-03,725.0,0.0,21.0
Zhejiang,2020-02-03,724.0,0.0,43.0
Henan,2020-02-03,566.0,2.0,16.0
Hunan,2020-02-03,521.0,0.0,22.0
Anhui,2020-02-03,408.0,0.0,14.0
Jiangxi,2020-02-03,391.0,0.0,18.0
Chongqing,2020-02-03,337.0,2.0,9.0
Jiangsu,2020-02-03,271.0,0.0,8.0
Shandong,2020-02-03,259.0,0.0,7.0
Sichuan,2020-02-03,254.0,1.0,14.0
Beijing,2020-02-03,212.0,1.0,12.0
